filescaptured,esd_program,bdec,acronym,nickname,solicitation.number,nspires_id,nspires_title,nspires_type,sponsor,fy,annual_funds_avail,num_selected,max_performance_years,total_funds_avail,solicitation_url,selections_url,notes,link_to_rfp_pd
FALSE,,FALSE,,,,NNH19ZDA001N-ESI,Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,,,,NNH10ZDA001N-ESDRERR,Earth System Data Records Uncertainty Analysis,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,,,,NNH12ZDA006O-EVI3,Earth Venture Instrument - 3,AO,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,,,,NNH12ZDA006O-EVI4,Earth Venture Instrument - 4,AO,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,,,,NNH07ZDA001N-ESGIC,EarthScope: The InSAR and Geodetic Imaging Component,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,ECOSTRES18,ECOSTRESSsat18,,NNH18ZDA001N-ECOSTRESS,ECOSTRESS Science and Applications Team,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,GNSSnssr19,,,NNH19ZDA001N-GNSS,Global Navigation Satellite System Research,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,GLORYst09,,,NNH09ZDA001N-GLORY,Glory Science Team,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,GRACEgracefost15,,,NNH15ZDA001N-GRACE,GRACE and GRACE-FO Science Team,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,GRACEFOfost19,,,NNH19ZDA001N-GRACEFO,GRACE-FO Science Team,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,HAQST15,,,NNH15ZDA001N-HAQST,Health and Air Quality Applied Sciences Team,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,HSRPfe09,,,NNH09ZDA001N-HSRP,Hurricane Field Experiment,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,HYSPIRIiripauei09,,,NNH09ZDA001N-HYSPIRI,HyspIRI Preparatory Activities Using Existing Imagery,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,HYSPIRIiripauei10,,,NNH10ZDA001N-HYSPIRI,HyspIRI Preparatory Activities Using Existing Imagery,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,HYSPIRIiripaaas11,,,NNH11ZDA001N-HYSPIRI,HyspIRI Preparatory Airborne Activities and Associated Science,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,HYSPiripaaascrvr14,,,NNH14ZDA001N-HYSP,HyspIRI Preparatory Airborne Activities and Associated Science: Coral Reef and Volcano Research,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,ICEBRbr14,,,NNH14ZDA001N-ICEBR,IceBridge Research,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,ICEBSTbst16,,,NNH16ZDA001N-ICEBST,IceBridge Science Team,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,ICEB2010bsa09,,,NNH09ZDA001N-ICEB2010,IceBridge: Support for 2010 Activities,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,ICESAT2satsdt11,,,NNH11ZDA001N-ICESAT2,IceSAT 2 Science Definition Team,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,ICESAT2sdt14,,,NNH14ZDA001N-ICESAT2,ICESat2 Science Definition Team,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,ICESAT IIiisdt08,,,NNH08ZDA001N-ICESAT II,ICESat-II Science Definition Team,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,ICVCcvcnasacf11,,,NNH11ZDA001N-ICVC,Impacts of Climate Variability and Change on NASA Centers and Facilities,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,INVESTvest17,,,NNH17ZDA001N-INVEST,In-space Validation of Earth Science Technologies,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,IIPi10,,,NNH10ZDA001N-IIP,Instrument Incubator,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,IIPip13,,,NNH13ZDA001N-IIP,Instrument Incubator Program,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,IIPip16,,,NNH16ZDA001N-IIP,Instrument Incubator Program,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,IDSres12,,,NNH12ZDA001N-IDS,Interdisciplinary Research in Earth Science,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,IDSres19,,,NNH19ZDA001N-IDS,Interdisciplinary Research in Earth Science,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,IDSs16,,,NNH16ZDA001N-IDS,Interdisciplinary Science,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,IPYEPOpyipyepo06,,,NNH06ZDA001N-IPYEPO,International Polar Year (IPY) Education and Public Outreach,NRA,NASA:HQ:SMD:ES,2006,,,,,,,,
FALSE,,FALSE,LCLUCcluc10,,,NNH10ZDA001N-LCLUC,Land Cover/Land Use Change,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,LCLUCcluc12,,,NNH12ZDA001N-LCLUC,Land Cover/Land Use Change,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,LCLUCcluc16,,,NNH16ZDA001N-LCLUC,Land Cover/Land Use Change,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,LCLUCcluc07,,,NNH07ZDA001N-LCLUC,Land-Cover/Land-Use Change,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,LCLUCcluc17,,,NNH17ZDA001N-LCLUC,Land-Cover/Land-Use Change,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,LCLUCclucecs11,,,NNH11ZDA001N-LCLUC,Land-Cover/Land-Use Change for Early Career Scientists,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,MEASURESesdrure17,,,NNH17ZDA001N-MEASURES,Making Earth System Data Records for Use in Research Environments,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,MEASURESesurereasn06,,,NNH06ZDA001N-MEASURES,Making Earth System data records for Use in Research Environments (formerly REASoN),NRA,NASA:HQ:SMD:ES,2006,,,,,,,,
FALSE,,FALSE,OCEANurepsmdrobbocean21,,,NNH21ZHA001NRA-OCEAN,Minority University Research and Education Project/ Science Mission Directorate Research: Ocean Biology and Biogeochemistry (OCEAN),NRA,NASA:HQ:OSE:INTE:MUSE,2021,,,,,,,,
FALSE,,FALSE,MAPap19,,,NNH19ZDA001N-MAP,Modeling Analysis and Prediction,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,MAPap15,,,NNH15ZDA001N-MAP,"Modeling, Analysis, and Prediction",NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,MAPap16,,,NNH16ZDA001N-MAP,"Modeling, Analysis, and Prediction",NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,NDOAdoa13,,,NNH13ZDA001N-NDOA,NASA Data for Operation and Assessment,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,NDOAdoa16,,,NNH16ZDA001N-NDOA,NASA Data for Operation and Assessment,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,NESSF12,,,NESSF12,NASA Earth and Space Science Fellowship 2012, FELLOWSHIP ,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,NESSF12essf12,,,NESSF12,NASA Earth and Space Science Fellowship 2012,FELLOWSHIP,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,NESSF13,,,NESSF13,NASA Earth and Space Science Fellowship 2013, NRA ,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,NESSF14,,,NESSF14,NASA Earth and Space Science Fellowship 2014, FELLOWSHIP ,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,NESSF14essf14,,,NESSF14,NASA Earth and Space Science Fellowship 2014,FELLOWSHIP,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,NESSF15,,,NESSF15,NASA Earth and Space Science Fellowship 2015, FELLOWSHIP ,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,NESSF16,,,NESSF16,NASA Earth and Space Science Fellowship 2016, FELLOWSHIP ,NASA:HQ:SMD,2016,,,,,,,,
FALSE,,FALSE,NESSF17,,,NESSF17,NASA Earth and Space Science Fellowship 2017, FELLOWSHIP ,NASA:HQ:SMD,2017,,,,,,,,
FALSE,,FALSE,NESSF17essf17,,,NESSF17,NASA Earth and Space Science Fellowship 2017,FELLOWSHIP,NASA:HQ:SMD,2017,,,,,,,,
FALSE,,FALSE,NESSF18,,,NESSF18,NASA Earth and Space Science Fellowship 2018, FELLOWSHIP ,NASA:HQ:SMD,2018,,,,,,,,
FALSE,,FALSE,NESSF08,,,NESSF08,NASA Earth and Space Science Fellowship/08, FELLOWSHIP ,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,NESSF09,,,NESSF09,NASA Earth and Space Science Fellowship/09, FELLOWSHIP ,NASA:HQ:SMD,2009,,,,,,,,
FALSE,,FALSE,NESSF10,,,NESSF10,NASA Earth and Space Science Fellowship/10,FELLOWSHIP,NASA:HQ:SMD,2010,,,,,,,,
FALSE,,FALSE,NESSF10essf10,,,NESSF10,NASA Earth and Space Science Fellowship/10,FELLOWSHIP,NASA:HQ:SMD,2010,,,,,,,,
FALSE,,FALSE,NESSF11,,,NESSF11,NASA Earth and Space Science Fellowship/11, FELLOWSHIP ,NASA:HQ:SMD,2011,,,,,,,,
FALSE,,FALSE,NEWSewcs18,,,NNH18ZDA001N-NEWS,NASA Energy and Water Cycle Study,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,WATERewcswq08,,,NNH08ZDA001N-WATER,NASA Energy and Water Cycle Study - Water Quality,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,Csmdsecancan15,,,NNH15ZDA004C,NASA Science Mission Directorate Science Education Cooperative Agreement Notice (CAN),CAN,NASA:HQ:SMD:CD,2015,,,,,,,,
FALSE,,FALSE,NIPecipes11,,,NNH11ZDA001N-NIP,New (Early Career) Investigator Program in Earth Science,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,NIPecipes13,,,NNH13ZDA001N-NIP,New (Early Career) Investigator Program in Earth Science,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,NPPstcdr10,,,NNH10ZDA001N-NPP,NPP Science Team for Climate Data Records,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,OBBbb07,,,NNH07ZDA001N-OBB,Ocean Biology and Biogeochemistry,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,OBBbb09,,,NNH09ZDA001N-OBB,Ocean Biology and Biogeochemistry,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,OBBbb12,,,NNH12ZDA001N-OBB,Ocean Biology and Biogeochemistry,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,OSFCsfc10,,,NNH10ZDA001N-OSFC,Ocean Salinity Field Campaign,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,OSSTsst08,,,NNH08ZDA001N-OSST,Ocean Salinity Science Team,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,OSSTsst10,,,NNH10ZDA001N-OSST,Ocean Salinity Science Team,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,OSSTsst13,,,NNH13ZDA001N-OSST,Ocean Salinity Science Team,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,OSSTsst17,,,NNH17ZDA001N-OSST,Ocean Salinity Science Team,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,OSTSTstst11,,,NNH11ZDA001N-OSTST,Ocean Surface Topography Science Team,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,OSTSTstst16,,,NNH16ZDA001N-OSTST,Ocean Surface Topography Science Team,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,OVWSTvwst13,,,NNH13ZDA001N-OVWST,Ocean Vector Winds Science Team,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,OVWSTvwst17,,,NNH17ZDA001N-OVWST,Ocean Vector Winds Science Team,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,PACESATsat19,,,NNH19ZDA001N-PACESAT,PACE Science and Applications Team,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,POo07,,,NNH07ZDA001N-PO,Physical Oceanography,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,POo08,,,NNH08ZDA001N-PO,Physical Oceanography,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,POo09,,,NNH09ZDA001N-PO,Physical Oceanography,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,POo11,,,NNH11ZDA001N-PO,Physical Oceanography,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,POo12,,,NNH12ZDA001N-PO,Physical Oceanography,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,POo15,,,NNH15ZDA001N-PO,Physical Oceanography,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,POo18,,,NNH18ZDA001N-PO,Physical Oceanography,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,POP19,,,NNH19ZDA001N-PO,Physical Oceanography,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,PMMmmst12,,,NNH12ZDA001N-PMM,Precipitation Measurement Missions Science Team,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,PMMs06,,,NNH06ZDA001N-PMM,Precipitation Science,NRA,NASA:HQ:SMD:ES,2006,43538,6/27/2019,Past,,,,,
FALSE,,FALSE,WATERswq12,,,NNH12ZDA001N-WATER,Remote Sensing of Water Quality,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,RSTstes14,,,NNH14ZDA001N-RST,Remote Sensing Theory for Earth Science,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,SCIScis11,,,NNH11ZDA001N-SCIS,Satellite Calibration Interconsistency Studies,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,SCIScis15,,,NNH15ZDA001N-SCIS,Satellite Calibration Interconsistency Studies,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,CMSsciteam,,,NNH10ZDA001N-CMS,Science Definition Team for Carbon Monitoring System,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,CMSdtcms10,,,NNH10ZDA001N-CMS,Science Definition Team for Carbon Monitoring System,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,DESSDTdtdesdirm11,,,NNH11ZDA001N-DESSDT,Science Definition Team for the DESDynI-Radar Mission,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,NSTtnasaisrosarnisarm18,,,NNH18ZDA001N-NST,Science Team for the NASA ISRO Synthetic Aperture Radar (NISAR) Mission,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,OCO2tocom17,,,NNH17ZDA001N-OCO2,Science Team for the OCO Missions,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,OCO2tocom14,,,NNH14ZDA001N-OCO2,Science Team for the OCO-2 Mission,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,SUSMAPusmapm15,,,NNH15ZDA001N-SUSMAP,Science Utilization of the Soil Moisture Active-Passive Mission,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,SLCTlcst16,,,NNH16ZDA001N-SLCT,Sea Level Change Science Team,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,SERVIRast15,,,NNH15ZDA001N-SERVIR,SERVIR Applied Sciences Team,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,SERVIR18,,,NNH18ZDA001N-SERVIR,SERVIR Applied Sciences Team,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,SERVIR11,,,NNH11ZDA001N-SERVIR,SERVIR Applied Sciences Team,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,WEATHERsr14,,,NNH14ZDA001N-WEATHER,Severe Storm Research,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,SMAPSDTsdt08,,,NNH08ZDA001N-SMAPSDT,SMAP Science Definition Team,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,SISTist17,,,NNH17ZDA001N-SIST,Solar Irradiance Science Team,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,SAPa07,,,NNH07ZDA001N-SAP,Space Archaeology,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,SAPa11,,,NNH11ZDA001N-SAP,Space Archaeology,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,ICESAT2iscs16,,,NNH16ZDA001N-ICESAT2,Studies with IceSat and CryoSat -2,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,SNPPnppnppstsipsesdrfsnpp13,,,NNH13ZDA001N-SNPP,Suomi National Polar-orbiting Partnership (NPP) Science Team and Science Investigator-led Processing Systems for Earth System Data Records From Suomi NPP,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,SWOTwotst15,,,NNH15ZDA001N-SWOT,Surface Water and Ocean Topography Science Team,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,SWOTSTwotst19,,,NNH19ZDA001N-SWOTST,Surface Water and Ocean Topography Science Team,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,SLITlit19,,,NNH19ZDA001N-SLIT,Sustainable Land Imaging - Technology,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,SLITlit15,,,NNH15ZDA001N-SLIT,Sustainable Land Imaging-Technology,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,TEe08,,,NNH08ZDA001N-TE,Terrestrial Ecology,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,TEe09,,,NNH09ZDA001N-TE,Terrestrial Ecology,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,TEe16,,,NNH16ZDA001N-TE,Terrestrial Ecology,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,THPh07,,,NNH07ZDA001N-THP,Terrestrial Hydrology,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,THPh10,,,NNH10ZDA001N-THP,Terrestrial Hydrology,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,THPh17,,,NNH17ZDA001N-THP,Terrestrial Hydrology,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,THPh19,,,NNH19ZDA001N-THP,Terrestrial Hydrology,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,GLOBEglobepio13,,,NNH13ZDA001N-GLOBE,The GLOBE Program Implementation Office,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,TASNPPsterraaquasuominpp17,,,NNH17ZDA001N-TASNPP,"The Science of TERRA, AQUA, and SUOMI NPP",NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,TWSCwsc13,,,NNH13ZDA001N-TWSC,"Topical Workshops, Symposia, and Conferences",NRA,NASA:HQ:SMD:CD,2013,,,,,,,,
FALSE,,FALSE,TWSCwsc14,,,NNH14ZDA001N-TWSC,"Topical Workshops, Symposia, and Conferences",NRA,NASA:HQ:SMD:CD,2014,,,,,,,,
FALSE,,FALSE,TWSCwsc17,,,NNH17ZDA001N-TWSC,"Topical Workshops, Symposia, and Conferences",NRA,NASA:HQ:SMD:CD,2017,,,,,,,,
FALSE,,FALSE,WEATHER13,,,NNH13ZDA001N-WEATHER,Weather,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,WEATHERad16,,,NNH16ZDA001N-WEATHER,Weather and Atmospheric Dynamics,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,WLSls07,,,NNH07ZDA001N-WLS,Wind Lidar Science,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
NA,,NA,NA,,,NNH06ZDA001N-TEB,Terrestrial Ecology and Biodiversity,NRA,NASA:HQ:SMD:ES,2006, NA ,NA,NA,,NA,,,
FALSE,bd,TRUE,10-BIOCLIM10,10-BIOCLIM10,10-BIOCLIM10,NNH10ZDA001N-BIOCLIM,Climate and Biological response,,,,,,,,,,,
FALSE,ec,TRUE,08-FEAS08,08-FEAS08,08-FEAS08,NNH08ZDA001N-FEASIBILITY,Earth Science Applications Feasibility Studies,,,,,,,,,,,
FALSE,ec,TRUE,16-GEO16,16-GEO16,16-GEO16,NNH16ZDA001N-GEO,,,,,,,,,,,,
